run_id,freeze,Q,L,contr,vicreg,n_epochs,peak_gap,peak_ep,warm_gap,warm_ep,final_gap,min_after_peak,final_gene_loss,verdict,done
fzT_thenU5_vic1_contr0.3_q128_predL1,true,128,1,0.3,1.0/0.04,10,0.09942817687988281,9,0.09942817687988281,9,0.09942817687988281,0.09942817687988281,0.06196987256407738,STABLE,True
fzT_thenU5_vic0_contr0_q64_predL1,true,64,1,0,0/0,10,0.10297781974077225,6,0.10297781974077225,6,0.09423127770423889,0.07277630269527435,0.043550845235586166,STABLE,True
fzT_thenU5_vic1_contr0_q128_predL1,true,128,1,0,1.0/0.04,10,0.13562598824501038,5,0.13562598824501038,5,0.09155678004026413,0.0895279124379158,0.028877438977360725,STABLE,True
fzT_thenU5_vic0_contr0_q128_predL1,true,128,1,0,0/0,10,0.11392008513212204,6,0.11392008513212204,6,0.08038317412137985,0.08038317412137985,0.03177759051322937,STABLE,True
fzT_thenU5_vic1_contr0_q64_predL1,true,64,1,0,1.0/0.04,10,0.12032278627157211,6,0.12032278627157211,6,0.07108946889638901,0.07108946889638901,0.029938092455267906,STABLE,True
fzT_thenU5_vic0_contr0.3_q64_predL1,true,64,1,0.3,0/0,10,0.10703188925981522,6,0.10703188925981522,6,0.06996197998523712,0.06996197998523712,0.06715638190507889,STABLE,True
fzT_thenU5_vic0_contr0.3_q128_predL1,true,128,1,0.3,0/0,10,0.10115042328834534,5,0.10115042328834534,5,0.058669812977313995,0.058669812977313995,0.06133724004030228,STABLE,True
fzT_thenU5_vic1_contr0_q128_predL2,true,128,2,0,1.0/0.04,10,0.10311605036258698,4,0.06992451846599579,5,0.05551652982831001,0.042490486055612564,0.02557382360100746,STABLE,True
fzT_thenU5_vic0_contr0_q256_predL1,true,256,1,0,0/0,10,0.10225607454776764,4,0.08670061826705933,5,0.05299198254942894,0.051067255437374115,0.022302813827991486,STABLE,True
fzT_thenU5_vic0_contr0_q128_predL2,true,128,2,0,0/0,10,0.10332855582237244,4,0.06937765330076218,5,0.05248269811272621,0.04651638865470886,0.02598090097308159,STABLE,True
fzT_thenU5_vic1_contr0_q256_predL1,true,256,1,0,1.0/0.04,10,0.10224740952253342,4,0.08224504441022873,5,0.050995685160160065,0.050995685160160065,0.021704407408833504,STABLE,True
fzT_thenU5_vic0_contr0_q256_predL2,true,256,2,0,0/0,10,0.10755960643291473,4,0.06347635388374329,5,0.049820903688669205,0.04175112396478653,0.016930479556322098,FAIL,True
fzT_thenU5_vic1_contr0_q256_predL2,true,256,2,0,1.0/0.04,10,0.10769040882587433,4,0.06835970282554626,5,0.04951000213623047,0.03799042850732803,0.01635933481156826,FAIL,True
